Serial Number,Project Name,Project Num,Sector,Vintage,Date of Action,Quantity,CreditType,Credit Status,Comments
ICR-ESP-34-7-1-A-0-2020,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Biotrading 2007 S.L ,7,1,2020,,2717,ICC,Ex-post,
ICR-ESP-34-7-1-A-0-2021,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Biotrading 2007 S.L ,7,1,2021,,0,ICC,Ex-post,
ICR-ESP-34-7-1-A-0-2021,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Biotrading 2007 S.L ,7,1,2021,,0,ICC,Ex-post,
ICR-ESP-34-7-1-A-0-2021,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Biotrading 2007 S.L ,7,1,2021,,25935,ICC,Ex-post,
ICR-ESP-34-7-1-A-0-2021,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Biotrading 2007 S.L ,7,1,2021,,0,ICC,Ex-post,
ICR-ESP-34-7-1-A-0-2021,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Biotrading 2007 S.L ,7,1,2021,,2862,ICC,Ex-post,
ICR-ESP-34-7-1-A-0-2022,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Biotrading 2007 S.L ,7,1,2022,,0,ICC,Ex-post,
ICR-ESP-34-7-1-A-0-2022,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Biotrading 2007 S.L ,7,1,2022,,0,ICC,Ex-post,
ICR-ESP-34-7-1-A-0-2022,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Biotrading 2007 S.L ,7,1,2022,,23549,ICC,Ex-post,
ICR-ESP-34-7-1-A-0-2022,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Biotrading 2007 S.L ,7,1,2022,,2610,ICC,Ex-post,
ICR-ESP-34-7-1-A-0-2022,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Biotrading 2007 S.L ,7,1,2022,,0,ICC,Ex-post,
