step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
216,0.19043,0.94444,,
217,0.09492,0.96396,,
218,0.12012,0.96833,,
219,0.21641,0.94792,,
220,0.24379,0.9415,0.27679,0.94608
221,0.05801,0.98148,,
222,0.57897,0.87255,,
223,0.36748,0.90217,,
224,0.43146,0.88942,,
225,0.54064,0.88938,,
226,0.26509,0.93651,,
227,0.30109,0.91724,,
228,0.27293,0.94492,,
229,0.28547,0.95385,,
230,0.57045,0.86854,0.17266,0.94937
231,0.33921,0.92391,,
232,0.19043,0.95588,,
233,0.06294,0.9816,,
234,0.13718,0.96861,,
235,0.06343,0.99242,,
236,0.02036,0.98718,,
237,0.33289,0.90798,,
238,0.1415,0.96209,,
239,0.30767,0.91189,,
240,0.73287,0.84979,0.27454,0.94366
241,0.70629,0.85781,,
242,0.34314,0.9177,,
243,0.19985,0.95406,,
244,0.20965,0.9542,,
245,0.08346,0.97959,,
246,0.34962,0.93952,,
247,0.07966,0.97857,,
248,0.15462,0.95745,,
249,0.80853,0.82812,,
250,0.32979,0.91981,0.20764,0.93462
251,0.13921,0.95087,,
252,0.05818,0.97945,,
253,0.07457,0.97368,,
254,0.90454,0.82582,,
255,0.52559,0.89447,,
256,0.25889,0.9435,,
257,0.12322,0.96911,,
258,0.25567,0.93243,,
259,0.72499,0.87435,,
260,0.35403,0.92014,0.28875,0.92982
261,0.16167,0.95745,,
262,0.20607,0.94776,,
263,0.11781,0.95918,,
264,0.63492,0.87778,,
265,0.08586,0.97403,,
266,0.01842,0.99286,,
267,0.3124,0.93035,,
268,0.03415,0.98658,,
269,0.36478,0.92009,,
270,0.3896,0.91409,0.06652,0.98316
271,0.07599,0.95833,,
272,0.57723,0.88542,,
273,0.11055,0.97406,,
274,0.12024,0.9521,,
275,0.52972,0.90411,,
276,0.18627,0.94961,,
277,0.17567,0.94091,,
278,0.49486,0.90164,,
279,0.49091,0.90909,,
280,0.08891,0.97093,0.41883,0.90765
281,0.31823,0.93333,,
282,0.40822,0.91444,,
283,0.20926,0.9572,,
284,0.01855,0.99471,,
285,0.07523,0.972,,
286,0.51733,0.89577,,
287,0.31191,0.92188,,
288,0.18341,0.93889,,
289,0.0428,0.96947,,
290,0.00704,0.99401,0.3959,0.90588
291,0.28894,0.91775,,
292,0.15287,0.9527,,
293,0.19951,0.95077,,
294,0.18568,0.95933,,
295,0.00495,1.0,,
296,0.30678,0.93529,,
297,0.11223,0.96639,,
298,0.1013,0.97183,,
299,0.03385,0.99401,,
300,0.02753,0.99237,0.4263,0.91765
301,0.11819,0.96714,,
302,0.17722,0.96196,,
303,0.28075,0.94586,,
304,0.36911,0.93103,,
305,0.334,0.92222,,
306,0.32537,0.915,,
307,0.13597,0.97354,,
308,0.104,0.96311,,
309,0.22821,0.95082,,
310,0.16208,0.94359,0.07125,0.97605
311,0.04375,0.97959,,
312,0.91265,0.81761,,
313,0.22685,0.94848,,
314,0.04978,0.98026,,
315,0.08254,0.97059,,
316,0.0573,0.96471,,
317,0.09011,0.97006,,
318,0.04615,0.98052,,
319,0.25591,0.94323,,
320,0.17737,0.94634,0.10131,0.97531
321,0.24819,0.92697,,
322,0.21112,0.94545,,
323,0.30105,0.91121,,
324,0.01836,0.99451,,
325,0.26812,0.95175,,
326,0.21825,0.95219,,
327,0.15368,0.95882,,
328,0.36752,0.91813,,
329,0.04179,0.98387,,
330,0.2769,0.94052,0.67019,0.86561
331,0.08276,0.97248,,
332,0.03087,0.97619,,
333,0.02178,0.99242,,
334,0.77132,0.83333,,
335,0.3384,0.94444,,
336,0.10255,0.95062,,
337,0.24007,0.92523,,
338,0.02481,0.99213,,
339,0.42632,0.91176,,
340,0.0387,0.98,0.33242,0.93644
341,0.21826,0.96273,,
342,0.31041,0.94944,,
343,0.25387,0.93367,,
344,0.14669,0.94798,,
345,0.01355,0.99419,,
346,0.65068,0.84416,,
347,0.34205,0.9207,,
348,0.82356,0.86486,,
349,0.36854,0.89071,,
350,0.49659,0.90909,0.00968,1.0
351,0.32963,0.92647,,
352,0.13047,0.96311,,
353,0.12092,0.9703,,
354,0.49548,0.90625,,
355,0.07447,0.97834,,
356,0.09419,0.97546,,
357,0.31762,0.93865,,
358,0.44416,0.91722,,
359,0.16877,0.95918,,
360,0.2266,0.94714,0.17345,0.94983
361,0.6636,0.86517,,
362,0.20535,0.94348,,
363,0.16804,0.96257,,
364,0.37558,0.91882,,
365,0.42985,0.89655,,
366,0.63919,0.87603,,
367,0.09675,0.97842,,
368,0.09544,0.98137,,
369,0.05013,0.98312,,
370,0.37668,0.8883,0.07465,0.98515
371,0.09698,0.98052,,
372,0.39528,0.92941,,
373,0.25875,0.93519,,
374,0.45285,0.90625,,
375,0.16687,0.94845,,
376,0.36538,0.90311,,
377,0.7626,0.83408,,
378,0.05705,0.98964,,
379,0.28272,0.94149,,
380,0.14075,0.95833,0.28488,0.94064
381,0.10187,0.95197,,
382,0.42768,0.91509,,
383,0.30194,0.95,,
384,0.03303,0.9949,,
385,0.03185,0.99435,,
386,0.43754,0.93846,,
387,0.06003,0.9697,,
388,0.13728,0.96757,,
389,0.01469,0.99435,,
390,0.23728,0.93976,0.21809,0.94737
391,0.12569,0.95833,,
392,0.07307,0.96951,,
393,0.12404,0.96226,,
394,0.12874,0.96266,,
395,0.07588,0.97222,,
396,0.27551,0.92096,,
397,0.49248,0.89402,,
398,0.3395,0.925,,
399,0.08524,0.9633,,
400,0.03906,0.99375,0.391,0.93011
401,0.05839,0.9871,,
402,0.36964,0.92917,,
403,0.03599,0.98283,,
404,0.02896,0.99342,,
405,0.35895,0.92653,,
406,0.3926,0.93617,,
407,0.00195,1.0,,
408,0.38563,0.93191,,
409,0.05391,0.98113,,
410,0.33427,0.9053,0.0577,0.98758
411,0.6031,0.88031,,
412,0.07835,0.97083,,
413,0.05544,0.97458,,
414,0.39244,0.92398,,
415,0.07398,0.9697,,
416,0.30535,0.93365,,
417,0.12542,0.94969,,
418,0.20608,0.94816,,
419,0.12117,0.96947,,
420,0.05287,0.99342,0.0624,0.97436
421,0.10093,0.97321,,
422,0.45806,0.89818,,
423,0.16336,0.96018,,
424,0.02554,0.99153,,
425,0.03604,0.99459,,
426,0.03658,0.98734,,
427,0.33386,0.90943,,
428,0.05183,0.98485,,
429,0.14746,0.94975,,
430,0.03809,0.99412,0.22212,0.94836
431,0.17939,0.9557,,
432,0.12103,0.96,,
433,0.06404,0.98343,,
434,0.02453,0.9949,,
435,0.02946,1.0,,
436,0.30783,0.92558,,
437,0.22159,0.94043,,
438,0.12323,0.94944,,
439,0.07715,0.97173,,
440,0.13818,0.93956,0.28223,0.94954
441,0.07162,0.99231,,
442,0.52696,0.89189,,
443,0.05833,0.98238,,
444,0.46187,0.9095,,
445,0.05973,0.98333,,
446,0.25462,0.94792,,
447,0.23278,0.95238,,
448,0.4045,0.91964,,
449,0.13896,0.96226,,
450,0.07984,0.9693,0.02518,0.99324
451,0.45026,0.88446,,
452,0.11986,0.96335,,
453,0.21106,0.94512,,
454,0.44864,0.89604,,
455,0.15326,0.96512,,
456,0.05518,0.9863,,
457,0.07449,0.97814,,
458,0.16184,0.97312,,
459,0.03394,0.99444,,
460,0.26797,0.944,0.4587,0.91855
461,0.03515,0.98985,,
462,0.21853,0.95904,,
463,0.0078,0.99429,,
464,0.43502,0.90728,,
465,0.09798,0.98462,,
466,0.60919,0.89623,,
467,0.08422,0.97531,,
468,0.25473,0.93119,,
469,0.48098,0.90343,,
470,0.09831,0.98326,0.09979,0.97761
471,0.41274,0.92226,,
472,0.10897,0.96842,,
473,0.43101,0.90957,,
474,0.23292,0.955,,
475,0.30326,0.91908,,
476,0.26701,0.93373,,
477,0.06391,0.97838,,
478,0.12431,0.9602,,
479,0.43414,0.89266,,
480,0.0033,1.0,0.09758,0.96809
481,0.13208,0.97976,,
482,0.43045,0.91623,,
483,0.107,0.98473,,
484,0.06112,0.98113,,
485,0.38112,0.90988,,
486,0.12936,0.9631,,
487,0.09753,0.97391,,
488,0.00228,1.0,,
489,0.36959,0.935,,
490,0.32758,0.92857,0.0517,0.97452
491,0.0186,0.99254,,
492,0.34386,0.92683,,
493,0.29049,0.94397,,
494,0.36709,0.92079,,
495,0.37809,0.92308,,
496,0.30154,0.92417,,
497,0.05948,0.96842,,
498,0.55993,0.88462,,
499,0.09943,0.96653,,
500,0.28833,0.93805,0.18547,0.96135
501,0.36634,0.92208,,
502,0.54656,0.89338,,
503,0.5144,0.92169,,
504,0.06306,0.97222,,
505,0.02389,1.0,,
506,0.30817,0.91121,,
507,0.0468,0.98582,,
508,0.05609,0.97619,,
509,0.05196,0.98148,,
510,0.25946,0.92929,0.11249,0.98404
511,0.0243,0.99394,,
