step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
227,1.50594,0.70988,,
228,1.15979,0.78169,,
229,0.02503,1.0,,
230,0.72664,0.83505,,
231,0.2579,0.95695,,
232,0.15447,0.97196,,
233,0.13567,0.96078,,
234,1.30497,0.77451,,
235,0.10305,0.97321,,
236,0.45381,0.92157,,
237,1.5525,0.70536,,
238,0.07846,0.97059,,
239,0.02478,0.99107,,
240,0.05681,0.98214,,
241,0.04584,0.99107,,
242,2.25402,0.62222,,
243,0.65588,0.84718,,
244,0.01363,1.0,,
245,0.06236,0.9902,,
246,0.16241,0.97561,,
247,1.72133,0.68182,,
248,1.38007,0.7089,,
249,1.81012,0.68,,
250,1.15409,0.79302,,
251,1.52896,0.74189,,
252,0.72512,0.88393,,
253,0.43924,0.92857,,
254,0.03097,0.9902,,
255,0.03327,0.99107,,
256,1.42267,0.7053,,
257,0.02228,0.9902,,
258,0.83347,0.8245,,
259,0.9347,0.83136,,
260,0.37709,0.90244,,
261,0.02174,1.0,,
262,0.27233,0.95536,,
263,0.02773,0.9902,,
264,0.345,0.9424,,
265,0.32356,0.93056,,
266,1.27462,0.77778,,
267,0.79688,0.81667,,
268,2.19562,0.66667,,
269,0.58449,0.90123,,
270,1.36478,0.75967,,
271,0.10453,0.98039,,
272,1.74668,0.68824,,
273,1.6264,0.70588,,
274,1.72188,0.69264,,
275,0.35198,0.94371,,
276,0.01041,1.0,,
277,1.20871,0.79412,,
278,0.66688,0.85714,,
279,0.09962,0.98958,,
280,1.52615,0.72348,,
281,1.58569,0.7041,,
282,1.36976,0.7284,,
283,2.03426,0.66667,,
284,0.62318,0.90196,,
285,1.30043,0.77451,,
286,0.62307,0.85714,,
287,0.2536,0.95536,,
288,0.48001,0.88393,,
289,0.90255,0.81308,,
290,0.21764,0.94231,,
291,0.22227,0.94309,,
292,0.15007,0.97196,,
293,0.03092,0.98611,,
294,0.01075,0.9955,,
295,1.11163,0.80795,,
296,0.08174,0.98013,,
297,0.00707,1.0,,
298,0.00415,1.0,,
299,0.03468,0.98214,,
300,0.03998,0.99099,0.01392,1.0
301,0.34926,0.91176,,
302,0.63506,0.89362,,
303,0.57709,0.91071,,
304,1.59638,0.68182,,
305,1.70099,0.69198,,
306,1.20785,0.76636,,
307,0.47937,0.92188,,
308,0.40449,0.94444,,
309,0.51338,0.90244,,
310,0.0524,0.97321,,
311,1.54646,0.71507,,
312,2.04746,0.66757,,
313,0.54036,0.91146,,
314,0.01945,0.99043,,
315,0.00157,1.0,,
316,0.71467,0.88028,,
317,1.19367,0.80769,,
318,0.68474,0.88053,,
319,0.00634,1.0,,
320,0.07974,0.98039,,
321,0.12072,0.98214,,
322,0.75975,0.80556,,
323,2.05824,0.64444,,
324,0.00443,1.0,,
325,0.30096,0.93056,,
326,1.54821,0.72256,,
327,0.36168,0.93793,,
328,0.00193,1.0,,
329,0.32703,0.93954,,
330,1.74647,0.68103,,
331,0.01395,0.99751,,
332,0.02803,0.9902,,
333,0.48454,0.91089,,
334,0.05632,0.97561,,
335,0.1188,0.96739,,
336,0.0069,1.0,,
337,0.00046,1.0,,
338,0.4022,0.92574,,
339,0.00031,1.0,,
340,0.16176,0.97541,,
341,0.04161,0.98214,,
342,0.63302,0.88614,,
343,1.5848,0.70896,,
344,0.85688,0.79208,,
345,0.00559,1.0,,
346,0.476,0.91176,,
347,0.0257,0.99526,,
348,0.00128,1.0,,
349,0.00203,1.0,,
350,1.06576,0.83333,,
351,0.43617,0.91463,,
352,0.8986,0.81561,,
353,0.48352,0.90179,,
354,0.3619,0.94554,,
355,0.00249,1.0,,
356,0.3722,0.93069,,
357,1.69796,0.70695,,
358,0.02172,0.9902,,
359,1.95264,0.67449,,
360,0.60889,0.86379,,
361,0.00155,1.0,,
362,0.0168,0.99717,,
363,0.04551,0.9902,,
364,1.80701,0.67647,,
365,1.51177,0.71684,,
366,1.39851,0.75107,,
367,1.6596,0.72294,,
368,0.38294,0.93069,,
369,0.54007,0.91964,,
370,1.72816,0.69412,,
371,0.45673,0.91667,,
372,0.00987,1.0,,
373,0.41337,0.93137,,
374,0.17069,0.97087,,
375,1.163,0.7967,,
376,1.66859,0.69302,,
377,0.03664,0.98987,,
378,0.23799,0.96078,,
379,0.37511,0.91463,,
380,1.44523,0.78082,,
381,0.07768,0.9802,,
382,0.01826,0.99107,,
383,1.40319,0.77722,,
384,1.73469,0.69697,,
385,0.16984,0.96078,,
386,1.1569,0.80597,,
387,0.00279,1.0,,
388,1.28036,0.79577,,
389,0.24876,0.95695,,
390,0.0035,1.0,,
391,0.30471,0.94444,,
392,0.86629,0.84936,,
393,1.7985,0.69111,,
394,1.09904,0.81457,,
395,0.19433,0.97059,,
396,1.85191,0.70297,,
397,0.77108,0.85802,,
398,1.25822,0.79167,,
399,0.03656,0.99342,,
400,0.00632,1.0,0.55227,0.91566
401,0.4164,0.91391,,
402,0.18581,0.95098,,
403,0.3826,0.93072,,
404,1.18401,0.78049,,
405,0.00254,1.0,,
406,0.2459,0.95808,,
407,0.50466,0.92157,,
408,0.43439,0.91667,,
409,0.02785,0.9902,,
410,0.83249,0.81509,,
411,0.87457,0.83168,,
412,0.00666,1.0,,
413,0.11367,0.96429,,
414,0.04323,0.97059,,
415,1.12981,0.79801,,
416,0.33749,0.9375,,
417,0.00118,1.0,,
418,1.76733,0.75,,
419,0.11885,0.91667,,
420,1.86364,0.67723,,
421,1.6201,0.72072,,
422,0.29727,0.94643,,
423,0.01386,0.9902,,
424,0.00095,1.0,,
425,1.20227,0.77273,,
426,0.02898,0.9902,,
427,0.05436,0.9882,,
428,0.62543,0.86047,,
429,0.00309,0.99679,,
430,0.00049,1.0,,
431,1.24533,0.78431,,
432,1.1325,0.80282,,
433,0.16412,0.96748,,
434,0.11003,0.97561,,
435,0.55193,0.91089,,
436,0.08674,0.98214,,
437,0.59804,0.90625,,
438,0.46876,0.91463,,
439,0.06199,0.99099,,
440,1.59402,0.69643,,
441,1.50693,0.74363,,
442,0.12938,0.96078,,
443,0.05605,0.98374,,
444,0.06897,0.9902,,
445,0.14507,0.98039,,
446,0.00205,1.0,,
447,0.00024,1.0,,
448,0.00059,1.0,,
449,1.03884,0.78431,,
450,0.51013,0.91089,,
451,1.44268,0.73665,,
452,1.3259,0.79245,,
453,0.43874,0.93137,,
454,1.50885,0.7381,,
455,0.19032,0.96078,,
456,0.71694,0.83505,,
457,0.46927,0.91071,,
458,0.00012,1.0,,
459,0.01381,0.9902,,
460,0.00025,1.0,,
461,0.00095,1.0,,
462,1.30314,0.74448,,
463,1.01573,0.88095,,
464,1.75474,0.68085,,
465,0.46153,0.91071,,
466,0.0402,0.99479,,
467,0.09318,0.97321,,
468,1.19675,0.73414,,
469,1.12203,0.83696,,
470,1.07751,0.79851,,
471,0.05349,0.98039,,
472,0.14216,0.97682,,
473,0.59787,0.89109,,
474,0.03834,0.98039,,
475,0.06799,0.98039,,
476,0.54275,0.90553,,
477,0.01371,0.99658,,
478,1.29901,0.77152,,
479,0.39197,0.93564,,
480,0.59079,0.90244,,
481,0.19606,0.96429,,
482,1.31913,0.80392,,
483,0.00581,0.99658,,
484,1.48994,0.70982,,
485,0.0283,1.0,,
486,1.66317,0.69501,,
487,0.29998,0.94371,,
488,1.26267,0.79808,,
489,0.68194,0.8543,,
490,0.5312,0.87667,,
491,0.03733,0.99107,,
492,0.31246,0.94281,,
493,0.03485,0.9902,,
494,0.05848,0.98214,,
495,0.02767,1.0,,
496,0.87862,0.81308,,
497,1.21221,0.78431,,
498,0.04053,0.98374,,
499,1.26065,0.78431,,
500,2.01057,0.67297,1.64896,0.69161
501,1.66275,0.71429,,
502,0.3842,0.93069,,
503,0.14394,0.98214,,
504,0.00751,1.0,,
505,0.00174,1.0,,
506,0.03068,0.9902,,
507,0.45702,0.92079,,
508,0.50127,0.92593,,
509,0.40076,0.94643,,
510,0.20534,0.97321,,
511,0.63496,0.88496,,
512,0.49689,0.92857,,
513,0.00871,0.99099,,
514,0.00088,1.0,,
515,0.34462,0.95098,,
516,0.00032,1.0,,
517,0.01396,0.99502,,
518,0.0022,1.0,,
519,0.22849,0.96407,,
520,0.36858,0.92053,,
521,0.17434,0.98058,,
522,0.26399,0.9375,,
523,0.42361,0.91071,,
524,0.47068,0.87,,
525,0.09306,0.98039,,
526,0.02337,0.9902,,
527,1.75103,0.69556,,
528,0.01543,0.99479,,
529,0.33541,0.91463,,
530,1.09702,0.79302,,
531,0.32433,0.92683,,
532,0.72944,0.86412,,
533,0.99887,0.79412,,
534,1.12974,0.78409,,
535,1.60542,0.66667,,
536,1.53503,0.70833,,
537,0.63399,0.90196,,
538,0.00013,1.0,,
539,0.03943,0.99342,,
540,0.15171,0.96748,,
541,0.26025,0.95833,,
542,0.0022,1.0,,
543,0.1514,0.97059,,
544,1.93863,0.67778,,
545,1.62352,0.68182,,
546,0.40899,0.92157,,
547,0.11715,0.9902,,
548,0.37737,0.93069,,
549,0.12522,0.98039,,
550,0.61386,0.84718,,
551,1.74211,0.69164,,
552,1.51159,0.72237,,
553,0.00261,1.0,,
554,0.5407,0.91089,,
555,0.44187,0.93137,,
556,0.00084,1.0,,
557,0.57885,0.88393,,
558,0.35436,0.94444,,
559,1.29662,0.79717,,
560,0.98035,0.84028,,
561,1.54677,0.70294,,
562,0.00231,1.0,,
563,1.21626,0.78431,,
564,0.17567,0.95098,,
565,0.67427,0.88393,,
566,0.06434,0.9902,,
567,1.23589,0.7429,,
568,0.53541,0.90594,,
569,0.38423,0.92857,,
570,0.00295,0.99669,,
571,0.31681,0.95161,,
572,0.05143,0.97321,,
573,1.093,0.81457,,
574,0.1357,0.97196,,
575,0.05139,0.98214,,
576,0.007,1.0,,
577,0.03906,0.98214,,
578,1.67343,0.69828,,
579,0.17772,0.96078,,
580,1.47374,0.75,,
581,0.663,0.85762,,
582,1.77137,0.68,,
583,0.0013,1.0,,
584,1.48846,0.75369,,
585,0.19775,0.96429,,
586,0.04343,0.98039,,
587,0.00446,1.0,,
588,0.00133,1.0,,
589,1.17643,0.76636,,
590,0.00753,1.0,,
591,0.03705,0.9902,,
592,0.47805,0.91584,,
593,0.00074,1.0,,
594,0.9302,0.88095,,
595,0.09738,0.98214,,
596,0.26694,0.95364,,
597,0.00011,1.0,,
598,0.26551,0.95482,,
599,0.83863,0.84615,,
600,0.00055,1.0,0.44666,0.9375
601,1.48102,0.74513,,
602,0.0994,0.97059,,
603,0.35928,0.94059,,
604,1.69536,0.69706,,
605,0.38342,0.93056,,
606,1.79371,0.69307,,
607,0.0001,1.0,,
608,1.45654,0.7128,,
609,1.13231,0.7967,,
610,1.29212,0.77152,,
611,0.73227,0.80556,,
612,0.57698,0.87043,,
613,0.02864,0.99522,,
614,0.05187,0.9902,,
615,0.33539,0.94253,,
616,1.4195,0.73665,,
617,0.00075,1.0,,
618,1.60678,0.69795,,
619,1.12631,0.80846,,
620,1.60573,0.7316,,
621,1.21919,0.80769,,
622,1.07336,0.81457,,
623,0.02105,0.99705,,
624,1.16282,0.80769,,
625,0.00012,1.0,,
626,1.88855,0.67742,,
627,0.02903,0.99494,,
628,1.15221,0.79268,,
629,0.8626,0.81894,,
630,0.24838,0.95833,,
631,0.54313,0.90625,,
632,1.9306,0.66667,,
633,0.01335,0.99717,,
634,1.64914,0.70563,,
635,1.65669,0.68776,,
636,0.00026,1.0,,
637,5e-05,1.0,,
638,0.47742,0.92857,,
639,0.00022,1.0,,
640,0.00197,1.0,,
641,8e-05,1.0,,
642,1e-05,1.0,,
643,0.00589,0.99658,,
644,0.02289,0.99526,,
645,1.48405,0.68182,,
646,0.35113,0.94554,,
647,0.4077,0.93956,,
648,0.0862,0.96739,,
649,0.15199,0.98361,,
650,0.52796,0.91463,,
651,0.19014,0.92308,,
652,1.18219,0.74924,,
653,0.22534,0.93496,,
654,0.00197,0.99834,,
655,0.67614,0.84536,,
656,0.02715,0.98039,,
657,0.49928,0.91667,,
658,0.05638,0.98214,,
659,0.62447,0.90071,,
660,0.33683,0.91463,,
661,0.0,1.0,,
662,0.00068,1.0,,
663,0.90599,0.84047,,
664,0.07169,0.99099,,
665,5e-05,1.0,,
666,1.64562,0.7145,,
667,0.46406,0.91176,,
668,0.00815,1.0,,
669,1.36986,0.77348,,
670,0.67472,0.87324,,
671,0.06731,0.91667,,
672,1.36628,0.70548,,
673,0.0001,1.0,,
674,0.63503,0.86047,,
675,1.27431,0.80282,,
676,0.59409,0.89109,,
677,1.32537,0.80392,,
678,0.3651,0.9404,,
679,0.03067,0.9902,,
680,2e-05,1.0,,
681,1.56842,0.72523,,
682,1.28462,0.79167,,
683,0.0765,0.98958,,
684,1.10801,0.80464,,
685,0.83048,0.81683,,
686,0.81224,0.82781,,
687,0.16132,0.97561,,
688,0.42029,0.92073,,
689,0.85722,0.83663,,
690,0.02884,0.9902,,
691,0.47848,0.91935,,
692,0.41516,0.92708,,
693,0.0252,0.99187,,
694,1.61725,0.7,,
695,1.06303,0.80348,,
696,0.24775,0.97059,,
697,0.29858,0.94643,,
698,1.27945,0.72222,,
699,0.233,0.96358,,
700,0.06193,0.99007,0.00254,1.0
701,1.76326,0.68984,,
702,0.25152,0.92157,,
703,0.56659,0.86711,,
704,1.2138,0.77778,,
705,0.00134,1.0,,
706,0.11111,0.98675,,
707,1.34798,0.80822,,
708,0.02204,0.9902,,
709,1.4949,0.71642,,
710,0.00013,1.0,,
711,1.49557,0.73485,,
712,0.00684,1.0,,
713,1.62393,0.7,,
714,1.39598,0.70861,,
715,0.00065,1.0,,
716,1.54791,0.71927,,
717,0.8162,0.81752,,
718,2.42051,0.66667,,
719,1.08371,0.78873,,
720,1.3872,0.77722,,
721,0.00902,1.0,,
722,0.50397,0.91463,,
723,0.00706,1.0,,
724,1.50035,0.73323,,
725,0.7696,0.82667,,
726,0.00016,1.0,,
727,1.01669,0.84783,,
728,1.66066,0.67553,,
729,0.3069,0.93056,,
730,1.34284,0.7382,,
731,0.09961,0.9902,,
732,0.35949,0.93069,,
733,1.47863,0.71088,,
734,0.48132,0.91146,,
735,0.05821,0.9901,,
736,0.47934,0.91964,,
737,1.48966,0.72353,,
738,1.42695,0.73134,,
739,1.05941,0.80698,,
740,2e-05,1.0,,
741,0.3171,0.92683,,
742,1.54118,0.72072,,
743,0.0146,0.99342,,
744,0.00094,1.0,,
745,0.84183,0.82392,,
746,1.25205,0.80392,,
747,0.00056,1.0,,
748,1.41599,0.75,,
749,0.05285,0.98039,,
750,0.48612,0.91146,,
751,0.40938,0.89667,,
752,0.02043,0.9902,,
753,1.74045,0.675,,
754,0.61957,0.86755,,
755,0.12281,0.98039,,
756,0.00011,1.0,,
